GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""06025""","Imperial, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,5055707,6085250,5656713,5429442,5902836,6314043,6082750,7093442,6844284,6782574,7039372,6640258,7020557,7436925,8042675,8170398,8155429,8102824,8471316,8273072
" ""06025""","Imperial, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,76.137,91.642,85.188,81.766,88.895,95.087,91.604,106.825,103.073,102.143,106.011,100,105.727,111.998,121.12,123.043,122.818,122.026,127.575,124.59
" ""06025""","Imperial, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,3732421,4471455,4342706,4401007,4782342,5234473,5443080,6453335,6039418,6211488,6905725,6640258,7207886,7659456,8065663,7935108,8170609,8220162,8742543,8566860
" ""06027""","Inyo, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,888852,1024012,989305,1015571,1004680,1021034,1009879,1038311,1014028,1035891,1018867,1004491,1098490,1086591,1102736,1175758,1224445,1175310,1214209,1182230
" ""06027""","Inyo, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,88.488,101.943,98.488,101.103,100.019,101.647,100.536,103.367,100.949,103.126,101.431,100,109.358,108.173,109.781,117.05,121.897,117.006,120.878,117.694
" ""06027""","Inyo, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,681872,789933,786716,830637,849597,897254,913662,959042,983398,1006494,1005149,1004491,1128491,1148102,1182671,1268129,1334100,1301856,1375530,1362365
" ""06029""","Kern, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,27651931,31074712,30772705,33320481,35506212,40304624,44041478,42722024,45552481,43467286,42644421,46566041,45534651,45615554,45836337,45928331,46781960,47738604,49221208,48674498
" ""06029""","Kern, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,59.382,66.733,66.084,71.555,76.249,86.554,94.579,91.745,97.823,93.345,91.578,100,97.785,97.959,98.433,98.631,100.464,102.518,105.702,104.528
" ""06029""","Kern, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,19623089,21713857,23589105,27215844,31612333,37015331,42621167,46229974,39794433,41945330,44069637,46566041,47122155,47419015,42022371,41004491,43959990,46923468,47506713,45185758
" ""06031""","Kings, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,4350004,4591095,5040485,5267905,5501006,5120762,5932036,5310546,4816012,4926324,5625719,5097311,5102357,5508259,5418677,5687938,5924008,5882811,6054971,6266094
" ""06031""","Kings, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,85.339,90.069,98.885,103.347,107.92,100.46,116.376,104.183,94.481,96.646,110.366,100,100.099,108.062,106.305,111.587,116.218,115.41,118.788,122.929
" ""06031""","Kings, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,3116385,3353058,3822644,4211507,4390711,4185302,5171536,4744223,4411386,4603923,5486274,5097311,5227087,5683825,5569924,5811008,6183574,6220603,6527293,6857784
" ""06033""","Lake, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1385305,1584348,1574743,1589149,1573537,1712250,1716471,1706256,1574731,1654537,1647944,1635183,1624472,1746436,1745616,1743577,1768943,1850962,1875971,1883809
" ""06033""","Lake, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,84.719,96.891,96.304,97.185,96.23,104.713,104.971,104.346,96.303,101.184,100.78,100,99.345,106.804,106.754,106.629,108.18,113.196,114.725,115.205
" ""06033""","Lake, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,1054339,1229494,1254471,1303709,1337604,1517005,1573968,1593093,1522789,1607041,1622681,1635183,1666618,1834407,1866717,1882713,1945888,2078681,2156170,2213607
" ""06035""","Lassen, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,851805,906232,935553,928176,950455,985665,1010234,1117944,1048685,1174895,1142452,1176584,1159741,1134084,1153813,1191247,1071059,1077095,1071584,1083379
" ""06035""","Lassen, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,72.397,77.022,79.514,78.887,80.781,83.774,85.862,95.016,89.13,99.856,97.099,100,98.568,96.388,98.065,101.246,91.031,91.544,91.076,92.078
" ""06035""","Lassen, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,630271,688578,732703,753798,796700,855925,918832,1039976,980711,1122274,1122611,1176584,1187685,1181303,1221670,1267577,1158945,1194429,1216359,1257511
" ""06037""","Los Angeles, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,473306527,482467282,499512771,514064136,525750328,547542672,555951086,569813740,547249104,561409984,571324012,576713190,587370781,604034122,628765253,639934876,662418536,681549961,703781312,659328437
" ""06037""","Los Angeles, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,82.07,83.658,86.614,89.137,91.163,94.942,96.4,98.804,94.891,97.346,99.066,100,101.848,104.737,109.026,110.962,114.861,118.178,122.033,114.325
" ""06037""","Los Angeles, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,388463854,401632764,421461776,444304422,465922362,497032624,517559678,537541173,520267632,539921212,558788408,576713190,597849809,624867909,661324357,681188404,715267112,752017612,789460877,747523558
" ""06039""","Madera, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,3296292,3686064,3806442,4334990,4637784,4819111,4813208,4737574,4204961,4883226,4901149,5077248,5136705,5519576,5226294,5765929,6012170,5988270,6194111,6240917
" ""06039""","Madera, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,64.923,72.6,74.971,85.381,91.344,94.916,94.8,93.31,82.82,96.179,96.532,100,101.171,108.712,102.936,113.564,118.414,117.943,121.997,122.919
" ""06039""","Madera, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,2438059,2769731,2934935,3500921,3727856,3962572,4235263,4239524,3816899,4522761,4787309,5077248,5281242,5652522,5250370,5701986,6106412,6143266,6457150,6544075
" ""06041""","Marin, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,16974299,17737235,18037937,17101741,16968339,17132556,16646417,16882230,16488858,16714186,16941630,17423348,17998671,18674876,19235345,20738025,22815861,25037176,27175273,26875951
" ""06041""","Marin, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,97.423,101.802,103.527,98.154,97.389,98.331,95.541,96.894,94.637,95.93,97.235,100,103.302,107.183,110.4,119.024,130.95,143.699,155.97,154.253
" ""06041""","Marin, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,13337027,14238407,14751297,14402186,14724442,15344685,15390799,15884449,15793045,16132967,16582049,17423348,18388535,19467978,20546508,22564871,25290999,28341111,31356722,31516100
" ""06043""","Mariposa, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,491027,518565,519523,552645,584022,600634,605648,560458,560777,568150,628251,578248,561559,561339,565432,608856,664863,764080,775501,705107
" ""06043""","Mariposa, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,84.916,89.679,89.844,95.572,100.999,103.871,104.738,96.923,96.979,98.254,108.647,100,97.114,97.076,97.784,105.293,114.979,132.137,134.112,121.939
" ""06043""","Mariposa, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,379161,409715,420166,458731,504110,538912,561814,530456,541201,550374,616847,578248,574625,588632,606394,662300,737874,866784,896544,822575
" ""06045""","Mendocino, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,2884059,2989947,2987454,2878204,2895964,3027143,2999661,3082360,3062845,3213999,3047664,2968376,2992637,3046083,3104933,3087672,3261212,3290676,3295575,3186549
" ""06045""","Mendocino, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,97.16,100.727,100.643,96.962,97.561,101.98,101.054,103.84,103.183,108.275,102.671,100,100.817,102.618,104.6,104.019,109.865,110.858,111.023,107.35
" ""06045""","Mendocino, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,2233102,2369246,2413549,2394824,2486936,2677168,2728412,2863668,2928281,3095178,2966769,2968376,3071390,3192443,3329947,3365242,3608641,3714084,3807601,3786796
" ""06047""","Merced, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,5919851,6243835,6773718,7387247,7706492,7547300,8411584,7401381,7113678,7257104,7459433,7302553,7569363,8309865,8436760,8462554,9012107,8994225,9119281,9099866
